4.0	though only 60 minutes long , the film is packed with information and impressions . 
4.0	deserves a place of honor next to nanook as a landmark in film history . 
2.0	rarely does a film so graceless and devoid of merit as this one come along . 
4.0	has a certain ghoulish fascination , and generates a fair amount of b-movie excitement . 
3.0	schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying . 
3.0	if you dig on david mamet's mind tricks . . . rent this movie and enjoy ! 
1.0	apparently kissing leads to suicide attempts and tragic deaths . marisa tomei is good , but just a kiss is just a mess . 
4.0	wilco fans will have a great time , and the movie should win the band a few new converts , too . 
2.0	although it includes a fair share of dumb drug jokes and predictable slapstick ,  orange county  is far funnier than it would seem to have any right to be . 
4.0	nachtwey clears the cynicism right out of you . he makes you realize that deep inside righteousness can be found a tough beauty . 
5.0	jae-eun jeong's take care of my cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema . 
5.0	a winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others . 
2.0	rosenthal ( halloween ii ) seems to have forgotten everything he ever knew about generating suspense . 
2.0	while the film shuns the glamour or glitz that an american movie might demand , scherfig tosses us a romantic scenario that is just as simplistic as a hollywood production . 
4.0	mark pellington's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth . 
4.0	greg kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior . 
2.0	for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so little to offer . 
5.0	as quiet , patient and tenacious as mr . lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline . 
2.0	the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops , but there's not enough to the story to fill two hours . 
4.0	saved from being merely way-cool by a basic , credible compassion . 
2.0	a sleek advert for youthful anomie that never quite equals the sum of its pretensions . 
5.0	what a bewilderingly brilliant and entertaining movie this is . 
5.0	much of this slick and sprightly cgi feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings . 
2.0	falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that aren't funny . 
2.0	karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat . 
3.0	why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson . . . and puke up something like rose red ? 
2.0	eric byler's nuanced pic avoids easy sentiments and explanations . . . 
2.0	how anyone over the age of 2 can stomach the touchy-feely message this preachy produce promotes is beyond us . 
4.0	by turns very dark and very funny . 
2.0	one well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing . proof of this is ballistic : ecks vs . sever . 
4.0	an entertaining , if somewhat standardized , action movie . 
2.0	the film doesn't really care about the thousands of americans who die hideously , it cares about how ryan meets his future wife and makes his start at the cia . 
2.0	a little too pat for its own good . 
4.0	tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden lightly . 
2.0	everything else about high crimes is , like the military system of justice it portrays , tiresomely regimented . 
2.0	nelson's intentions are good , but the end result does no justice to the story itself . it's horribly depressing and not very well done . 
2.0	millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry . 
3.0	arteta paints a picture of lives lived in a state of quiet desperation . 
2.0	i was sent a copyof this film to review on dvd . for free . i still want my money back . 
1.0	never engaging , utterly predictable and completely void of anything remotely interesting or suspenseful . 
3.0	the superior plotline isn't quite enough to drag along the dead ( water ) weight of the other . 
5.0	a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters . 
2.0	what happened with pluto nash ? how did it ever get made ? 
4.0	the film jolts the laughs from the audience--as if by cattle prod . 
4.0	even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work . 
2.0	an awkwardly contrived exercise in magic realism . 
5.0	cox creates a fluid and mesmerizing sequence of images to match the words of nijinsky's diaries . 
2.0	the film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil . 
4.0	the most surprising thing about this film is that they are actually releasing it into theaters . 
4.0	art-house to the core , read my lips is a genre-curling crime story that revives the free-wheeling noir spirit of old french cinema . 
4.0	an enjoyable above average summer diversion . 
4.0	the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi . 
4.0	anyone who suffers through this film deserves , at the very least , a big box of consolation candy . 
5.0	a confident , richly acted , emotionally devastating piece of work and 2002's first great film
2.0	it's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix's . 
2.0	like schindler's list , the grey zone attempts to be grandiloquent , but ends up merely pretentious -- in a grisly sort of way . 
2.0	halfway through , however , having sucked dry the undead action flick formula , blade ii mutates into a gross-out monster movie with effects that are more silly than scary . 
3.0	sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti
4.0	there's something fishy about a seasonal holiday kids' movie . . . that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups . 
2.0	it's a sometimes interesting remake that doesn't compare to the brilliant original . 
4.0	it's definitely a step in the right direction . 
4.0	a fine film , but it would be a lot better if it stuck to betty fisher and left out the other stories . 
2.0	it's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . you don't want to call the cops . you want to call domino's . 
2.0	  juwanna mann ?  no thanks . wewannour money back , actually . 
2.0	the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed . 
4.0	when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart . 
4.0	road to perdition does display greatness , and it's worth seeing . but it also comes with the laziness and arrogance of a thing that already knows it's won . 
4.0	wobbly senegalese updating of  carmen  which is best for the stunning star turn by djeinaba diop gai
